SBN nue 5sigma, Plot grab from WebPlotDigitoger: http://arohatgi.info/WebPlotDigitizer/app/
0.0019756, 95.567
0.0019487, 87.281
0.0019756, 80.928
0.0020028, 76.179
0.0019756, 69.575
0.0018961, 65.493
0.0018449, 60.725
0.0017707, 57.163
0.0017466, 54.628
0.0017229, 50.652
0.0017229, 45.566
0.0017229, 42.893
0.0017466, 40.376
0.0018198, 38.586
0.0018961, 36.876
0.0019756, 35.241
0.0020867, 34.191
0.0021742, 33.173
0.0022653, 31.703
0.0023602, 30.297
0.0024257, 28.954
0.0023602, 28.092
0.0022965, 26.846
0.0021742, 26.047
0.0020584, 25.271
0.0019487, 24.519
0.0018449, 23.789
0.0017466, 23.080
0.0016536, 22.393
0.0015655, 21.726
0.0014821, 21.400
0.0014031, 21.079
0.0013467, 20.145
0.0012750, 19.545
0.0012070, 18.963
0.0011585, 18.122
0.0011119, 17.319
0.0010527, 16.803
0.00099658, 16.302
0.00096968, 15.817
0.00094350, 14.889
0.00091802, 14.015
0.00091802, 13.394
0.00093067, 12.419
0.00095650, 11.869
0.00098304, 11.342
0.0010103, 10.840
0.0010672, 10.517
0.0011119, 9.6049
0.0011272, 9.1791
0.0011585, 8.6406
0.0012070, 8.1336
0.0012576, 7.7730
0.0013284, 7.3170
0.0014031, 6.8877
0.0014821, 6.4836
0.0015655, 6.1962
0.0016536, 5.8326
0.0016764, 5.3269
0.0016764, 5.0144
0.0016311, 4.7202
0.0015655, 4.4433
0.0015025, 4.2463
0.0014225, 4.0580
0.0013467, 3.8781
0.0012576, 3.7062
0.0012070, 3.5419
0.0011427, 3.3849
0.0010672, 3.2348
0.0010103, 3.0914
0.00094350, 2.9100
0.00090554, 2.7393
0.00088109, 2.5786
0.00085730, 2.4643
0.00084565, 2.3550
0.00083416, 2.1836
0.00083416, 2.0246
0.00083416, 1.8773
0.00084565, 1.7671
0.00085730, 1.6385
0.00089324, 1.5192
0.00093067, 1.4519
0.00095650, 1.3875
0.00099658, 1.3061
0.0010672, 1.2110
0.0011272, 1.1573
0.0011745, 1.1060
0.0012237, 1.0570
0.0013103, 0.99497
0.0014031, 0.95086
0.0014821, 0.90871
0.0015655, 0.86842
0.0016536, 0.82992
0.0017707, 0.79313
0.0018703, 0.74660
0.0020028, 0.72436
0.0021742, 0.68186
0.0023282, 0.65163
0.0024592, 0.62275
0.0026333, 0.60420
0.0028198, 0.57741
0.0030611, 0.55182
0.0033231, 0.52735
0.0035585, 0.50397
0.0038105, 0.48163
0.0041366, 0.46028
0.0044906, 0.43987
0.0048749, 0.42037
0.0052921, 0.40173
0.0057450, 0.38392
0.0062366, 0.36690
0.0066783, 0.35598
0.0071513, 0.34538
0.0076577, 0.33007
0.0082001, 0.31543
0.0087808, 0.30145
0.0095323, 0.29247
0.010207, 0.28376
0.011081, 0.27531
0.011866, 0.26311
0.012706, 0.25144
0.013606, 0.24029
0.014770, 0.22964
0.016034, 0.22280
0.017170, 0.21617
0.018639, 0.20973
0.019959, 0.20043
0.021373, 0.19155
0.022887, 0.18584
0.024508, 0.17760
0.026605, 0.17232
0.028882, 0.16468
0.031353, 0.15977
0.033574, 0.15501
0.035952, 0.14814
0.039029, 0.14157
0.041793, 0.13736
0.045369, 0.13327
0.049252, 0.12736
0.052740, 0.12357
0.056475, 0.11809
0.061308, 0.11285
0.065650, 0.10785
0.070300, 0.10464
0.076316, 0.10152
0.081721, 0.097022
0.087509, 0.094133
0.094997, 0.089960
0.10173, 0.087281
0.11043, 0.083411
0.11988, 0.080928
0.12837, 0.078518
0.13746, 0.075037
0.14923, 0.072802
0.15980, 0.069575
0.17111, 0.067503
0.18576, 0.064510
0.20165, 0.062589
0.21300, 0.060725
0.23123, 0.058033
0.25102, 0.055460
0.26879, 0.053809
0.29180, 0.052206
0.31677, 0.049892
0.33920, 0.048406
0.36323, 0.046260
0.39431, 0.044209
0.42224, 0.042893
0.45214, 0.040991
0.49084, 0.039771
0.52560, 0.038586
0.57058, 0.036876
0.61099, 0.035778
0.66328, 0.034191
0.71025, 0.033173
0.76055, 0.031703
0.82564, 0.030758
0.89630, 0.029395
0.95977, 0.028520
1.0000, 0.027670
